country,2008,2009,2010,2011,2012
Albania,10,-,10,20,20
Australia,4770,7420,12640,11510,15790
Austria,12840,15820,11010,14420,17420
Belgium,12250,17190,21760,26000,18520
"Bosnia andHerzegovina",100,50,50,40,50
Bulgaria,750,850,1030,890,1230
Canada,36900,33250,23160,25350,20500
Croatia,160,150,290,810,1190
Cyprus,3920,3200,3160,1770,1630
Czech Rep.,1710,1360,490,490,520
Denmark,2360,3820,4970,3810,6140
Estonia,10,40,30,70,80
Finland,4020,5910,4020,3090,2920
France,35400,42120,48070,52150,54940
Germany,22090,27650,41330,45740,64540
Greece,19880,15930,10270,9310,9580
Hungary,3120,4670,2100,1690,2160
Iceland,80,40,50,80,120
Ireland,3870,2690,1940,1290,940
Italy,30320,17600,10050,34120,15710
Japan,1600,1390,1200,1870,2540
Latvia,50,50,60,340,190
Liechtenstein,30,290,110,80,70
Lithuania,220,210,370,410,530
Luxembourg,460,480,740,2080,2050
Malta,2610,2390,140,1860,2060
Montenegro,10,20,10,240,1530
Netherlands,13400,14910,13330,11590,8850
New Zealand,250,340,340,310,320
Norway,14430,17230,10060,9050,9790
Poland,7200,10590,6530,5090,9180
Portugal,160,140,160,280,300
Rep. of Korea,360,320,430,1010,1140
Romania,1170,840,860,1720,2510
Serbia (and Kosovo),90,310,790,3320,2770
Slovakia,910,820,540,320,550
Slovenia,240,180,250,310,260
Spain,4520,3010,2740,3410,2580
Sweden,24350,24190,31820,29650,43890
Switzerland,16610,14490,13520,19440,25950
The former Yugoslav Republic of Macedonia,50,90,180,740,640
Turkey,12980,7830,9230,16020,16730
United Kingdom,31320,30670,22640,25900,27410
United States,49560,49020,55530,76000,83430
